 speaker,vowel,f1,f2
1,i,240,2280
1,i,280,2400
1,I,390,2030
1,I,310,1980
1,E,490,1870
1,E,570,1700
1,{,560,1820
1,{,630,1700
1,V,590,1250
1,V,620,1300
1,A,740,1070
1,A,800,1060
1,O,600,970
1,O,660,980
1,U,440,1120
1,U,400,1070
1,u,240,1040
1,u,270,930
1,3',370,1520
1,3',460,1330
2,i,220,2220
2,i,210,2360
2,I,410,1890
2,I,420,1850
2,E,500,1760
2,E,510,1710
2,{,690,1610
2,{,700,1690
2,V,650,1080
2,V,625,1060
2,A,650,1040
2,A,670,1100
2,O,580,580
2,O,560,560
2,U,450,940
2,U,410,830
2,u,280,650
2,u,260,660
2,3',510,1210
2,3',510,1130
3,i,250,2180
3,i,244,2300
3,I,400,1930
3,I,400,1990
3,E,550,1810
3,E,540,1810
3,{,630,1710
3,{,658,1755
3,V,600,1200
3,V,612,1160
3,A,640,1080
3,A,720,1090
3,O,550,870
3,O,540,840
3,U,460,1150
3,U,456,1030
3,u,340,950
3,u,326,900
3,3',500,1370
3,3',530,1330
4,i,300,2240
4,i,280,2450
4,I,450,1960
4,I,440,2050
4,E,570,1780
4,E,555,1890
4,{,750,1610
4,{,770,1580
4,V,660,1200
4,V,675,1140
4,A,750,1100
4,A,800,1120
4,O,540,850
4,O,555,890
4,U,460,960
4,U,460,1000
4,u,380,950
4,u,385,850
4,3',590,1400
4,3',555,1430
5,i,310,2310
5,i,260,2250
5,I,440,2060
5,I,430,1880
5,E,580,1910
5,E,550,1770
5,{,830,1720
5,{,750,1690
5,V,630,1300
5,V,650,1170
5,A,760,1220
5,A,720,1260
5,O,540,970
5,O,550,880
5,U,470,1040
5,U,490,990
5,u,380,950
5,u,330,800
5,3',560,1510
5,3',510,1460
6,i,312,2350
6,i,330,2430
6,I,420,2000
6,I,313,2000
6,E,600,1860
6,E,570,1830
6,{,676,1670
6,{,725,1687
6,V,680,1150
6,V,726,1270
6,A,740,1100
6,A,670,960
6,O,660,1030
6,O,720,960
6,U,456,1080
6,U,450,1140
6,u,313,838
6,u,288,938
6,3',503,1305
6,3',505,1320
7,i,320,2320
7,i,310,2280
7,I,470,2000
7,I,410,2040
7,E,630,1900
7,E,614,1840
7,{,740,1800
7,{,775,1810
7,V,620,1240
7,V,640,1250
7,A,650,970
7,A,650,980
7,O,430,720
7,O,510,800
7,U,460,1120
7,U,493,1120
7,u,380,1040
7,u,400,1000
7,3',570,1300
7,3',565,1370
8,i,230,2480
8,i,218,2380
8,I,320,2200
8,I,206,2130
8,E,430,2100
8,E,515,1760
8,{,514,2060
8,{,552,1820
8,V,640,1300
8,V,624,1350
8,A,714,1170
8,A,650,1150
8,O,590,965
8,O,578,970
8,U,467,1110
8,U,475,1220
8,u,270,910
8,u,260,975
8,3',460,1400
8,3',425,1410
9,i,316,2200
9,i,280,2275
9,I,450,1820
9,I,434,1850
9,E,582,1725
9,E,586,1800
9,{,600,1750
9,{,582,1775
9,V,626,1125
9,V,641,1120
9,A,708,1054
9,A,705,1050
9,O,614,848
9,O,600,860
9,U,500,1000
9,U,500,1000
9,u,334,1150
9,u,312,1020
9,3',518,1305
9,3',504,1210
10,i,260,2260
10,i,250,2200
10,I,400,2040
10,I,389,2000
10,E,500,1870
10,E,500,1775
10,{,660,1650
10,{,624,1700
10,V,650,1220
10,V,672,1260
10,A,750,1080
10,A,777,1026
10,O,580,800
10,O,585,819
10,U,480,950
10,U,461,993
10,u,280,950
10,u,266,920
10,3',500,1340
10,3',532,1275
11,i,248,2225
11,i,238,2175
11,I,405,1925
11,I,416,1940
11,E,588,1790
11,E,586,1725
11,{,725,1700
11,{,710,1650
11,V,586,1078
11,V,627,1038
11,A,725,1046
11,A,746,1018
11,O,560,840
11,O,560,924
11,U,495,1080
11,U,430,1030
11,u,290,760
11,u,315,850
11,3',511,1561
11,3',530,1450
12,i,220,2410
12,i,240,2440
12,I,450,1880
12,I,380,1930
12,E,560,1650
12,E,560,1720
12,{,680,1720
12,{,630,1680
12,V,560,1430
12,V,560,1390
12,A,800,1330
12,A,740,1240
12,O,600,920
12,O,580,910
12,U,400,1200
12,U,420,1230
12,u,300,900
12,u,260,1010
12,3',400,1450
12,3',360,1410
13,i,290,2290
13,i,260,2290
13,I,390,1950
13,I,400,1900
13,E,490,1740
13,E,500,1780
13,{,660,1630
13,{,670,1630
13,V,600,1220
13,V,600,1210
13,A,680,1120
13,A,670,1100
13,O,510,720
13,O,480,710
13,U,380,910
13,U,440,1030
13,u,350,720
13,u,380,740
13,3',430,1370
13,3',440,1360
14,i,228,2350
14,i,220,2350
14,I,407,2070
14,I,420,1900
14,E,445,2020
14,E,470,2020
14,{,721,1680
14,{,750,1710
14,V,552,1122
14,V,580,1150
14,A,686,1078
14,A,700,1050
14,O,560,665
14,O,550,650
14,U,448,980
14,U,410,940
14,u,232,696
14,u,222,665
14,3',432,1300
14,3',420,1300
15,i,230,2100
15,i,240,2000
15,I,365,1900
15,I,300,2040
15,E,440,1980
15,E,410,2050
15,{,620,1710
15,{,660,1800
15,V,660,1000
15,V,660,960
15,A,600,830
15,A,620,820
15,O,500,620
15,O,550,700
15,U,390,730
15,U,360,740
15,u,260,720
15,u,260,740
15,3',450,1230
15,3',460,1300
16,i,300,2355
16,i,300,2460
16,I,385,2242
16,I,407,2250
16,E,504,2090
16,E,543,1980
16,{,680,1958
16,{,708,1840
16,V,675,1320
16,V,704,1393
16,A,825,1168
16,A,840,1210
16,O,671,1000
16,O,690,968
16,U,443,1273
16,U,459,1286
16,u,395,1300
16,u,400,1320
16,3',532,1500
16,3',538,1460
17,i,264,2290
17,i,256,2305
17,I,380,1880
17,I,346,1930
17,E,510,1780
17,E,520,1730
17,{,630,1770
17,{,630,1642
17,V,601,1273
17,V,590,1283
17,A,750,1150
17,A,703,1092
17,O,565,780
17,O,584,849
17,U,420,1100
17,U,422,1200
17,u,315,1080
17,u,326,1125
17,3',444,1300
17,3',469,1288
18,i,210,2100
18,i,220,2080
18,I,280,2000
18,I,310,1950
18,E,470,1910
18,E,490,1930
18,{,640,1620
18,{,650,1580
18,V,610,1100
18,V,620,1120
18,A,700,1100
18,A,670,1100
18,O,460,720
18,O,470,690
18,U,320,770
18,U,310,790
18,u,210,670
18,u,240,730
18,3',390,1320
18,3',420,1240
19,i,190,2650
19,i,190,2700
19,I,370,1750
19,I,370,1800
19,E,370,1680
19,E,375,1700
19,{,550,1570
19,{,530,1610
19,V,570,1050
19,V,590,1100
19,A,640,970
19,A,670,980
19,O,560,860
19,O,570,820
19,U,350,1000
19,U,380,920
19,u,250,1000
19,u,210,960
19,3',360,1300
19,3',370,1300
20,i,250,2180
20,i,260,2210
20,I,400,1900
20,I,350,1980
20,E,560,1670
20,E,530,1700
20,{,680,1470
20,{,620,1580
20,V,620,1100
20,V,640,1110
20,A,630,980
20,A,670,940
20,O,560,790
20,O,610,840
20,U,360,860
20,U,400,840
20,u,280,670
20,u,250,720
20,3',480,1410
20,3',470,1330
21,i,280,2400
21,i,300,2320
21,I,410,2060
21,I,450,2050
21,E,540,1900
21,E,540,1920
21,{,620,1800
21,{,690,1820
21,V,630,1200
21,V,680,1290
21,A,740,1110
21,A,700,1060
21,O,600,970
21,O,650,880
21,U,430,1130
21,U,430,1150
21,u,280,990
21,u,290,1000
21,3',420,1350
21,3',450,1350
22,i,300,2300
22,i,350,2240
22,I,410,2200
22,I,440,2080
22,E,580,1870
22,E,520,1900
22,{,760,1920
22,{,670,1850
22,V,810,1110
22,V,770,1150
22,A,700,1040
22,A,750,1160
22,O,670,920
22,O,570,850
22,U,550,970
22,U,490,870
22,u,300,600
22,u,230,570
22,3',560,1520
22,3',540,1570
23,i,240,2100
23,i,240,2150
23,I,380,1870
23,I,430,1710
23,E,580,1770
23,E,570,1750
23,{,760,1580
23,{,715,1500
23,V,620,880
23,V,650,1000
23,A,710,950
23,A,690,960
23,O,460,610
23,O,470,710
23,U,390,900
23,U,460,920
23,u,250,690
23,u,270,650
23,3',540,1280
23,3',510,1280
24,i,280,2450
24,i,288,2500
24,I,400,2080
24,I,384,2110
24,E,590,1900
24,E,583,1840
24,{,680,1850
24,{,685,1780
24,V,660,1370
24,V,680,1300
24,A,760,1260
24,A,770,1140
24,O,500,800
24,O,600,1000
24,U,380,1060
24,U,470,1220
24,u,324,800
24,u,290,800
24,3',560,1350
24,3',600,1470
25,i,250,2190
25,i,254,2085
25,I,330,1967
25,I,430,1940
25,E,464,2100
25,E,504,1995
25,{,595,1900
25,{,670,1860
25,V,620,1200
25,V,630,1127
25,A,750,1160
25,A,740,1155
25,O,460,740
25,O,494,789
25,U,400,1020
25,U,450,1028
25,u,392,1000
25,u,350,898
25,3',547,1340
25,3',512,1280
26,i,246,2185
26,i,267,2280
26,I,420,2300
26,I,384,2110
26,E,480,1920
26,E,551,1788
26,{,628,1837
26,{,622,1890
26,V,628,1254
26,V,617,1255
26,A,690,1072
26,A,630,1000
26,O,510,700
26,O,504,756
26,U,465,990
26,U,462,976
26,u,324,708
26,u,387,786
26,3',488,1468
26,3',472,1465
27,i,275,2060
27,i,270,2020
27,I,349,2030
27,I,340,1940
27,E,444,1800
27,E,380,1800
27,{,688,1600
27,{,660,1570
27,V,565,1157
27,V,550,1150
27,A,712,1024
27,A,670,1080
27,O,550,913
27,O,550,890
27,U,360,1028
27,U,390,1060
27,u,294,930
27,u,280,1000
27,3',440,1250
27,3',480,1160
28,i,320,2160
28,i,267,2230
28,I,440,1750
28,I,390,1780
28,E,525,1800
28,E,520,1750
28,{,660,1600
28,{,720,1680
28,V,600,1250
28,V,575,1170
28,A,730,1160
28,A,860,1280
28,O,560,810
28,O,584,840
28,U,455,970
28,U,456,1040
28,u,350,820
28,u,366,772
28,3',450,1420
28,3',472,1430
29,i,333,2305
29,i,326,2260
29,I,375,2188
29,I,400,2150
29,E,500,1980
29,E,480,1950
29,{,640,1710
29,{,615,1720
29,V,583,1110
29,V,608,1120
29,A,777,1170
29,A,750,1175
29,O,630,891
29,O,572,924
29,U,438,975
29,U,420,938
29,u,333,800
29,u,320,840
29,3',480,1320
29,3',483,1335
30,i,267,2300
30,i,220,2300
30,I,431,2040
30,I,360,2010
30,E,565,1950
30,E,540,2000
30,{,600,2000
30,{,590,1950
30,V,630,1140
30,V,630,1170
30,A,730,1048
30,A,730,1130
30,O,600,900
30,O,640,890
30,U,448,960
30,U,450,1000
30,u,333,835
30,u,280,750
30,3',488,1300
30,3',490,1380
31,i,312,2380
31,i,300,2350
31,I,490,2000
31,I,490,1960
31,E,640,2000
31,E,555,1870
31,{,697,1610
31,{,684,1634
31,V,633,1260
31,V,660,1213
31,A,730,1203
31,A,752,1125
31,O,507,755
31,O,538,816
31,U,456,1040
31,U,480,1120
31,u,344,960
31,u,350,1000
31,3',539,1370
31,3',549,1353
32,i,292,2500
32,i,266,2370
32,I,372,2220
32,I,350,2130
32,E,574,1840
32,E,563,1960
32,{,650,1738
32,{,663,1820
32,V,600,1370
32,V,625,1312
32,A,735,1070
32,A,713,1180
32,O,625,875
32,O,700,1000
32,U,420,1100
32,U,420,1120
32,u,350,980
32,u,320,918
32,3',554,1480
32,3',484,1505
33,i,286,2415
33,i,300,2415
33,I,400,1980
33,I,407,2095
33,E,525,1988
33,E,553,1935
33,{,640,1773
33,{,640,1840
33,V,672,1272
33,V,658,1241
33,A,780,1170
33,A,788,1115
33,O,633,891
33,O,600,935
33,U,490,1102
33,U,492,1077
33,u,320,960
33,u,320,960
33,3',543,1310
33,3',508,1309